hhcat,SURVYR,hhcatDescription,codecat,codeDESCRIPTION,ew,ew2,mw,mw2,ewmw,combined_desc,estimate,calc1,calc2,calc3,standard_error,residual_standard_error
1,202021,lowest 10% income HHs,19501,Air-dried vegetables,264.6,70013.16,5165.69,235103.6033,7001.316,1_19501,0.025611293,1,0.010244517,0.008810542,0.025592923,99.9282755
1,202021,lowest 10% income HHs,19602,Tomato puree and vegetable purees,14337.77,30585313.62,5165.69,235103.6033,617644.54,1_19602,1.387788466,0.148781769,0.016678564,0.008810542,0.520954694,37.53847988
1,202021,lowest 10% income HHs,19603,"Vegetable juices e.g. tomato juice, carrot juice",710.21,504398.2441,5165.69,235103.6033,38308.7274,1_19603,0.068742995,1,0.020883948,0.008810542,0.068326753,99.39449652
1,202021,lowest 10% income HHs,19702,Chips - frozen or not frozen,172891.23,854505067.2,5165.69,235103.6033,6688704.554,1_19702,16.73457273,0.028587009,0.014978582,0.008810542,2.505661724,14.97296504
1,202021,lowest 10% income HHs,19703,Takeaway chips,184108,2873420747,5165.69,235103.6033,11634179.1,1_19703,17.82027183,0.084772288,0.0244661,0.008810542,4.684960293,26.29006076
1,202021,lowest 10% income HHs,19801,Instant potato,17855.29,284137265.6,5165.69,235103.6033,1450626.013,1_19801,1.728257987,0.891239405,0.031455038,0.008810542,1.610709471,93.19843933
1,202021,lowest 10% income HHs,19901,Canned potatoes,6868.94,10783634.5,5165.69,235103.6033,114720.4228,1_19901,0.664861809,0.228552362,0.006466253,0.008810542,0.319477446,48.05170662
1,202021,lowest 10% income HHs,20002,Crisps and potato snacks,498775.11,5562970897,5165.69,235103.6033,20547480.59,1_20002,48.27768507,0.02236131,0.015949808,0.008810542,5.956387129,12.33776458
1,202021,lowest 10% income HHs,20101,Other potato products - frozen or not frozen,80184.65,216355151.4,5165.69,235103.6033,2090802.195,1_20101,7.761271969,0.033649976,0.010095396,0.008810542,1.396276811,17.99030902
1,202021,lowest 10% income HHs,20301,"Peas, frozen",21116.8,45398911.82,5165.69,235103.6033,631453.2026,1_20301,2.043947662,0.101809717,0.011577498,0.008810542,0.643251991,31.47105978
1,202021,lowest 10% income HHs,20401,"Beans, frozen",917.45,841714.5025,5165.69,235103.6033,14266.3475,1_20401,0.08880227,1,0.006020493,0.008810542,0.088926065,100.1394053
1,202021,lowest 10% income HHs,20601,Ready meals and other vegetable products - frozen or not frozen,274676.92,1790245138,5165.69,235103.6033,9973282.109,1_20601,26.58666316,0.023728384,0.014057807,0.008810542,3.614331284,13.59452769
